"Compound","Effect","Metabolite","Plate","Dose","SampleType","Well","ApexIntensity"
"Phenylphenol","Non","Arachidonic Acid","C166",0.1,"cells","f5",347678.25
"Phenylphenol","Non","2'-deoxycytidine","C166",100,"cells","f11",1875.01806640625
"Phenylphenol","Non","Thymidine","C166",0.1,"cells","f5",18609.705078125
"Phenylphenol","Non","2'-deoxycytidine","C166",0.3,"cells","f6",4940.10791015625
"Phenylphenol","Non","Thymidine.D4","C166",10,"media","h9",52746.9765625
"Phenylphenol","Non","Thymidine.D4","C166",10,"cells","e9",57914.59375
"Phenylphenol","Non","2'-deoxycytidine","C166",100,"cells","g11",2383.08911132812
"Phenylphenol","Non","2'-deoxycytidine","C166",100,"cells","e11",2488.63305664062
"Phenylphenol","Non","Thymidine.D4","C166",0.03,"cells","e4",55495.66796875
"Phenylphenol","Non","Lactate","C166",3,"cells","e8",14790.2705078125
"Phenylphenol","Non","Thymidine","C166",0.03,"media","h4",3363.61889648438
"Phenylphenol","Non","Thymidine","C166",0.1,"cells","e5",15388.849609375
"Phenylphenol","Non","Citrulline-D4","C166",10,"media","h9",25390.7734375
"Phenylphenol","Non","Arachidonic Acid","C166",0.03,"media","h4",273149.03125
"Phenylphenol","Non","Thymidine.D4","C166",10,"cells","f9",59893.0234375
"Phenylphenol","Non","Arachidonic Acid","C166",10,"cells","e9",332824.6875
"Phenylphenol","Non","Arachidonic Acid","C166",10,"media","h9",319381.75
"Phenylphenol","Non","Thymidine.D4","C166",30,"cells","e10",53612.9765625
"Phenylphenol","Non","Thymidine.D4","C166",10,"cells","g9",54602.6328125
"Phenylphenol","Non","Arachidonic Acid","C166",0.1,"cells","e5",351786.90625
"Phenylphenol","Non","Thymidine.D4","C166",0.3,"cells","e6",66221.6640625
"Phenylphenol","Non","Arachidonic Acid","C166",10,"cells","g9",292700.46875
"Phenylphenol","Non","Thymidine","C166",10,"cells","g9",13710.5712890625
"Phenylphenol","Non","Arachidonic Acid","C166",10,"cells","f9",325338.90625
"Phenylphenol","Non","Citrulline-D4","C166",0.1,"cells","f5",26947.671875
"Phenylphenol","Non","Lactate.D3","C166",3,"cells","e8",9555.2734375
"Phenylphenol","Non","Citrulline-D4","C166",10,"cells","e9",24582.16796875
"Phenylphenol","Non","Citrulline-D4","C166",30,"cells","f10",24131.9375
"Phenylphenol","Non","Arachidonic Acid","C166",0.03,"cells","f4",330733.78125
"Phenylphenol","Non","2'-deoxycytidine","C166",1,"cells","e7",4521.17822265625
"Phenylphenol","Non","Thymidine","C166",10,"media","h9",3225.3876953125
"Phenylphenol","Non","Citrulline-D4","C166",30,"media","h10",25739.828125
"Phenylphenol","Non","Thymidine","C166",10,"cells","e9",15706.251953125
"Phenylphenol","Non","Citrulline-D4","C166",30,"cells","g10",24965.037109375
"Phenylphenol","Non","2'-deoxycytidine","C166",3,"cells","f8",4032.01611328125
"Phenylphenol","Non","Citrulline-D4","C166",0.03,"media","h4",25450.478515625
"Phenylphenol","Non","2'-deoxycytidine","C166",100,"media","h11",671.643188476562
"Phenylphenol","Non","Thymidine","C166",30,"media","h10",4387.736328125
"Phenylphenol","Non","Arachidonic Acid","C166",30,"cells","g10",275984.75
"Phenylphenol","Non","Arachidonic Acid","C166",0.03,"cells","g4",340272.8125
"Phenylphenol","Non","Citrulline-D4","C166",0.03,"cells","e4",25121.8671875
"Phenylphenol","Non","Arachidonic Acid","C166",0.3,"cells","e6",359281.1875
"Phenylphenol","Non","2'-deoxycytidine","C166",0.3,"cells","e6",4635.7685546875
