"sample_id","Effect","Compound","Dose","SampleType","Well","Arachidonic Acid","2'-deoxycytidine","Thymidine","Thymidine.D4","Lactate","Citrulline-D4","Lactate.D3"
"Phenylphenol_100_cells_f11","Non","Phenylphenol",100,"cells","f11",390981.0625,1875.01806640625,10133.5849609375,57119.92578125,60061.30078125,26169.50390625,9626.646484375
"Phenylphenol_0.3_cells_f6","Non","Phenylphenol",0.3,"cells","f6",316916.40625,4940.10791015625,12680.3447265625,49549.11328125,13677.283203125,24504.6015625,9762.2705078125
"Phenylphenol_10_media_h9","Non","Phenylphenol",10,"media","h9",319381.75,749.68994140625,3225.3876953125,52746.9765625,13815.4560546875,25390.7734375,9628.548828125
"Phenylphenol_10_cells_e9","Non","Phenylphenol",10,"cells","e9",332824.6875,4414.66455078125,15706.251953125,57914.59375,13324.0478515625,24582.16796875,9083.0068359375
"Phenylphenol_100_cells_g11","Non","Phenylphenol",100,"cells","g11",374145.21875,2383.08911132812,10253.072265625,58515.453125,53970.26953125,25672.525390625,9063.8974609375
"Phenylphenol_100_cells_e11","Non","Phenylphenol",100,"cells","e11",371457.25,2488.63305664062,8352.9990234375,44219.18359375,73004.75,25968.4921875,10598.2177734375
"Phenylphenol_0.03_cells_e4","Non","Phenylphenol",0.03,"cells","e4",362431.3125,5214.15478515625,17157.3671875,55495.66796875,14661.1796875,25121.8671875,11033.36328125
"Phenylphenol_0.03_media_h4","Non","Phenylphenol",0.03,"media","h4",273149.03125,677.974975585938,3363.61889648438,45562.96484375,27411.236328125,25450.478515625,11880.0009765625
"Phenylphenol_0.1_cells_e5","Non","Phenylphenol",0.1,"cells","e5",351786.90625,4667.17822265625,15388.849609375,54812.30859375,12842.0234375,27368.779296875,10605.255859375
"Phenylphenol_10_cells_g9","Non","Phenylphenol",10,"cells","g9",292700.46875,4334.8154296875,13710.5712890625,54602.6328125,14178.56640625,24308.197265625,9118.529296875
"Phenylphenol_0.3_cells_e6","Non","Phenylphenol",0.3,"cells","e6",359281.1875,4635.7685546875,18425.646484375,66221.6640625,14386.40625,26463.455078125,9491.2626953125
"Phenylphenol_30_cells_f10","Non","Phenylphenol",30,"cells","f10",309999.625,5160.7509765625,12486.0771484375,45656.50390625,14286.873046875,24131.9375,9289.21875
